Origin,Destination,MedianTimeSeconds,Frequency
Avd 135 Stroke,Intervention 1,824.0,19
Avd 32 Specialistmedicin,Lungonkologisk Mottagning LOM,765.0,19
Röntgen Norr rum S11,Avd 138 Kärlkirurgi,1342.0,19
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Avd 67 Gynekologi,1207.0,19
Röntgen Söder rum S5,Avd 91 MAVA,716.0,19
Avd 30 Urologi (På 131 under sommaren),Operation 8,761.0,19
Röntgen Plan 01 rum s18,Avd 67 Gynekologi,1533.0,19
Avd 90 MAVA,Röntgen Plan 01 rum s20,691.0,19
Operation 8,Avd 15/28 Ortopedi,649.5,18
Röntgen Plan 01 rum s20,Avd 91 MAVA,764.0,18
Avd 134 Ryggmärgsskador,Röntgen Norr rum S11,680.5,18
Avd 69 Onkologi,Iohexol njurfunktion Klin Fys (crom),811.5,18
Neurokirurgi Inskrivning,MR 51 Gamla Magnetkameran,542.0,18
Avd 15/28 Ortopedi,Röntgen Norr rum S11,568.0,18
Röntgen Plan 01 rum s18 (MR),Avd 137 Kirurgi,839.0,18
Avd 135 Stroke,Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),533.0,18
Avd 30 Urologi,Urologmottagningen,732.5,18
Avd 67 Gynekologi,Lungdiagnostisk Mott.,591.0,18
71 Onkologisk mottagning team 3,Intervention 1,753.5,18
Avd 135 Stroke,Avd 21 Geriatrik,1619.5,18
Avd 34 Geriatrik,Avd 135 Stroke,1604.0,18
Avd 141 Hematologi,Intervention 2,773.5,18
Neurokirurgi Inskrivning,Röntgen Norr rum S14 MR-kamera,475.0,18
Avd 69 Onkologi,Strålbehandling Rum 5,404.5,18
TVE Traumavårdsenhet,Röntgen Plan 01 rum s18,564.0,18
Intervention 2,Avd 141 Hematologi,1402.5,18
Avd 133 Neurologi,KFU Klinisk Fysiologi Ultraljud,1293.5,18
Avd 136 Kirurgi,Lungdiagnostisk Mott.,571.5,18
AKOM team 2 medicin,Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),733.5,18
Avd 91 MAVA,Röntgen Plan 01 rum s20,557.0,18
Avd 139 Transplantation,Röntgen Plan 2/3 rum s22,612.5,18
KFU Klinisk Fysiologi Ultraljud,Avd 67 Gynekologi,1360.0,18
Röntgen Norr rum S11,Avd 12 Thoraxkirurgi,855.0,18
Röntgen Söder rum S4,Avd 135 Stroke,784.5,18
Avd 67 Gynekologi,Röntgen Norr rum S15,696.5,18
Röntgen Plan 01 rum s20,Avd 135 Stroke,1065.5,18
AKOM team 3 OBS:en,Avd 52 Onkologi,1832.0,18
Avd 134 Ryggmärgsskador,Intervention 1,737.0,18
Avd 141 Hematologi,Röntgen Söder rum S7,857.0,18
Dagvård Urologmottagningen,Intervention 1,528.5,18
Dag-UVA avdelning 95B,Avd 137 Kirurgi,1086.0,17
CIVA avd 96,Avd 67 Gynekologi,1016.0,17
Röntgen Söder rum S5,Avd 32 Specialistmedicin,1376.0,17
PIVA avd 22,Avd 30 Urologi (På 131 under sommaren),918.0,17
AKOM akutteam 4,Röntgen Söder rum S4,934.0,17
Röntgen Söder rum S5,Avd 16/29 medicin,1170.0,17
Avd 138 Kärlkirurgi,GEA Gastroenterologisk Endoskopi,410.0,17
Röntgen Söder rum S6,Avd 133 Neurologi,1291.0,17
AKOM akutteam 1,Röntgen Plan 01 rum s18 (MR),845.0,17
Avd 143 Transplantationsmottagning,KFU Klinisk Fysiologi Ultraljud,465.0,17
Röntgen Norr rum S16,CIVA avd 96,333.0,17
Röntgen Söder rum S3,Avd 31 Plastik dagvård,794.0,17
Röntgen Söder rum S3,Avd 91 MAVA,1070.0,17
Avd 137 Kirurgi,Avd 30 Urologi,1084.0,17
TVE Traumavårdsenhet,Operation 1,282.0,17
Avd 16/29 medicin,Andningsfysiologi Klin fys mottagning 3,778.0,17
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Avd 137 Kirurgi,890.0,17
Avd 133 Neurologi,Röntgen Norr rum S12,829.0,17
Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),Avd 136 Kirurgi,885.0,17
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Avd 140 Hematologisk Mottagning,1089.0,17
UVA avdelning 95A,GEA Gastroenterologisk Endoskopi,813.0,17
TVE Traumavårdsenhet,PIVA avd 22,1048.0,17
Röntgen Plan 01 rum s18,Avd 19 specialist,1350.0,17
Informationen,AKOM triage,454.0,17
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Avd 141 Hematologi,1306.0,17
Avd 67 Gynekologi,Röntgen Plan 01 rum s18,730.0,17
AKOM team 3 OBS:en,Avd 137 Kirurgi,1044.0,17
Avd 91 MAVA,Avd 133 Neurologi,2408.0,17
Röntgen Söder rum S4,Lungmottagningen Vita Str 12,938.0,17
Öron Näsa Hals-Mottagningen (gamla rtg),Avd 18 Öron Näsa Hals (på 27 under sommaren),1040.0,17
Informationen,Hudmottagningen plan 01,1579.0,16
KFU Klinisk Fysiologi Ultraljud,Avd 133 Neurologi,1526.5,16
Avd 137 Kirurgi,Avd 137 Kirurgi,808.5,16
Röntgen Söder rum S6,Avd 135 Stroke,1544.5,16
Avd 32 Specialistmedicin,Strålbehandling Rum 4,455.0,16
Röntgen Norr rum S16,Avd 81 Psykiatri,1326.0,16
KFU Klinisk Fysiologi Ultraljud,Avd 10 Neurokirurgi,720.5,16
Intervention 1,71 Onkologisk mottagning team 3,1493.0,16
Avd 137 Kirurgi,Röntgen Söder rum S6,449.5,16
Avd 67 Gynekologi,KFU Klinisk Fysiologi Ultraljud,899.5,16
Avd 30 Urologi (På 131 under sommaren),Intervention 1,1061.0,16
AKOM akutteam 1,KK-akuten Gynekologisk Akutmottagning,1016.5,16
Avd 91 MAVA,Avd 32 Specialistmedicin,1553.0,16
AKOM triage,Röntgen Norr rum S11,780.0,16
Avd 52 Onkologi,Operation 4,418.5,16
Lungmottagningen Vita Str 12,Avd 32 Specialistmedicin,1595.5,16
Intervention 1,Avd 67 Gynekologi,1208.0,16
AKOM akutteam 1,Avd 138 Kärlkirurgi,1308.5,16
Andningsfysiologi Klin fys mottagning 3,Avd 143 Transplantationsmottagning,1042.0,16
Röntgen Plan 01 rum s18 (MR),Avd 23 Neurokirurgi,752.5,16
AKOM akutteam 4,Avd 15/28 Ortopedi,1527.5,16
AKOM akutteam 4,Avd 54 Onkologi,1197.5,16
KFU Klinisk Fysiologi Ultraljud,AKOM team 2 medicin,1081.0,16
Avd 141 Hematologi,Röntgen Plan 01 rum s18 (MR),926.0,16
Strålbehandling CT-MR-Fixation,Avd 54 Onkologi,1149.5,16
Avd 52 Onkologi,Strålbehandling Rum 12,644.5,16
Avd 133 Neurologi,Avd 113 Hud plan04,887.0,16
Avd 90 MAVA,Röntgen Norr rum S15,660.0,16
PIVA avd 22,Avd 27 Plastik,882.5,16
Röntgen Söder rum S3,Avd 69 Onkologi,1568.0,16
AKOM akutteam 4,Operation 1,535.0,16
Röntgen Norr rum S12,AKOM triage,528.5,16
Avd 52 Onkologi,Röntgen Plan 01 rum s18,546.5,16
Avd 54 Onkologi,Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),532.0,16
Avd 32 Specialistmedicin,Avd 67 Gynekologi,2081.0,16
GEA Gastroenterologisk Endoskopi,Avd 143 Transplantationsmottagning,1386.0,16
Röntgen Söder rum S5,Avd 139 Transplantation,1167.0,16
Avd 135 Stroke,Röntgen Norr rum S12,607.5,16
Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),AKOM akutteam 4,736.0,16
AKOM team 3 OBS:en,Avd 32 Specialistmedicin,1878.5,16
Avd 140 Hematologisk Mottagning,Röntgen Norr rum S16,710.0,15
Intervention 1,Avd 30 Urologi (På 131 under sommaren),1533.0,15
Öron Näsa Hals-Mottagningen (gamla rtg),Avd 16/29 medicin,1320.0,15
Avd 69 Onkologi,Operation 1,859.0,15
AKOM team 2 medicin,Röntgen Norr rum S15,699.0,15
Avd 69 Onkologi,Röntgen Söder rum S7,1026.0,15
Röntgen Plan 01 rum s20,Avd 137 Kirurgi,931.0,15
Avd 54 Onkologi,Öron Näsa Hals-Mottagningen (gamla rtg),623.0,15
Röntgen Norr rum S12,Avd 133 Neurologi,912.0,15
Avd 132 Kirurgi,Röntgen Plan 01 rum s18 (MR),608.0,15
Avd 12 Thoraxkirurgi,Dialysmottagning (avd 130),957.0,15
Röntgen Plan 01 rum s20,Avd 132 Kirurgi,1556.0,15
AKOM triage,Röntgen Norr rum S15,475.0,15
Röntgen Söder rum S3,AKOM akutteam 1,896.0,15
Iohexol njurfunktion Klin Fys (crom),Avd 30 Urologi,1442.0,15
Intervention 1,Avd 15/28 Ortopedi,1303.0,15
CIVA avd 96,Avd 132 Kirurgi,1077.0,15
PIVA avd 22,Avd 134 Ryggmärgsskador,1375.0,15
Avd 139 Transplantation,Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),934.0,15
PIVA avd 22,Avd 91 MAVA,819.0,15
Avd 52 Onkologi,Strålbehandling Rum 5,423.0,15
Lungonkologisk Mottagning LOM,Avd 32 Specialistmedicin,1633.0,15
Urologmottagningen,Operation 1,1048.0,15
Avd 115 Reumatologi,Intervention 1,1322.0,15
Röntgen Norr rum S12,AKOM team 2 medicin,728.0,15
Avd 52 Onkologi,Röntgen Söder rum S5,765.0,15
Intervention 2,Avd 136 Kirurgi,1056.0,15
AKOM akutteam 4,GEA Gastroenterologisk Endoskopi,944.0,15
UVA avdelning 95A,Avd 141 Hematologi,1308.0,15
Avd 30 Urologi,Röntgen Plan 2/3 rum s22,843.0,15
Avd 14 Plastik,Röntgen Norr rum S16,571.0,15
Avd 16/29 medicin,Lungdiagnostisk Mott.,780.0,15
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),71 Onkologisk mottagning team 3,1125.0,15
Avd 52 Onkologi,Avd 69 Onkologi,1182.0,15
Avd 67 Gynekologi,Röntgen Söder rum S4,800.0,15
PIVA avd 22,Avd 23 Neurokirurgi,916.0,15
Avd 139 Transplantation,Röntgen Söder rum S5,918.0,15
Neurokirurgi Inskrivning,Röntgen Plan 01 rum s19,686.0,15
Avd 32 Specialistmedicin,Avd 115 Reumatologi,878.0,15
Avd 113 Hud plan04,Avd 133 Neurologi,1811.0,15
Intervention 2,Avd 132 Kirurgi,1332.0,15
Röntgen Plan 01 rum s18 (MR),AKOM akutteam 1,703.0,15
Röntgen Söder rum S6,Avd 67 Gynekologi,1602.0,15
Avd 16/29 medicin,Nuklearmedicin Klin Fys,901.0,15
Röntgen Söder rum S4,Avd 21 Geriatrik,856.5,14
Avd 82 Psykiatri,Röntgen Norr rum S11,525.5,14
Avd 82 Psykiatri,Röntgen Norr rum S16,1194.5,14
Kirurgmottagningen Dagvård,PIVA avd 22,1002.5,14
Röntgen Plan 01 rum s17,Avd 115 Reumatologi,1534.5,14
Andningsfysiologi Klin fys mottagning 3,Avd 16/29 medicin,1118.5,14
Röntgen Söder rum S5,Avd 141 Hematologi,1092.5,14
AKOM akutteam 4,Intervention 2,457.0,14
Avd 25 Thoraxkirurgi,Dialysmottagning (avd 130),717.0,14
Röntgen Norr rum S16,71 Onkologisk mottagning team 3,1390.0,14
AKOM team 3 OBS:en,Avd 30 Urologi,1666.0,14
Avd 143 Transplantationsmottagning,Intervention 3,273.5,14
Avd 139 Transplantation,Intervention 3,789.5,14
Avd 139 Transplantation,Röntgen Norr rum s9,273.0,14
Avd 115 Reumatologi,Lungdiagnostisk Mott.,623.0,14
Avd 52 Onkologi,Strålbehandling CT-MR-Fixation,510.5,14
Avd 23 Neurokirurgi,Röntgen Plan 01 rum s18,296.0,14
Avd 132 Kirurgi,Intervention 2,533.5,14
Avd 132 Kirurgi,Röntgen Söder rum S6,571.0,14
Avd 10 Neurokirurgi,Röntgen Norr rum S15,684.0,14
Avd 139 Transplantation,Dialysmottagning (avd 130),447.5,14
Strålbehandling Rum 12,Avd 52 Onkologi,985.0,14
Avd 136 Kirurgi,Röntgen Plan 01 rum s18,386.0,14
Avd 16/29 medicin,Öron Näsa Hals-Mottagningen ÖNH,284.5,14
Avd 137 Kirurgi,PIVA avd 22,1056.0,14
Avd 18 Öron Näsa Hals,Intervention 1,603.5,14
Strålbehandling CT-MR-Fixation,Avd 69 Onkologi,1224.0,14
Avd 136 Kirurgi,Intervention 2,531.5,14
Operation 4 (på OP1 under sommaren),Avd 137 Kirurgi,1072.5,14
Avd 136 Kirurgi,Röntgen Plan 01 rum s20,416.0,14
Röntgen Söder rum S6,Avd 19 specialist,1059.5,14
Röntgen Plan 01 rum s18 (MR),Avd 91 MAVA,899.0,14
Röntgen Norr rum S16,Avd 30 Urologi (På 131 under sommaren),1154.5,14
Avd 91 MAVA,Avd 137 Kirurgi,1005.5,14
Intervention 1,Avd 115 Reumatologi,1433.0,14
Avd 137 Kirurgi,Röntgen Plan 01 rum s18 (MR),741.5,14
Avd 90 MAVA,GEA Gastroenterologisk Endoskopi,401.0,14
Avd 34 Geriatrik,Operation 8,741.5,14
Avd 115 Reumatologi,Röntgen Söder rum S7,697.0,14
Röntgen Söder rum S3,AKOM team 3 OBS:en,1119.5,14
Röntgen Norr rum S12,Avd 10 Neurokirurgi,783.5,14
Avd 140 Hematologisk Mottagning,Avd 115 Reumatologi,1610.5,14
CIVA avd 96,Avd 136 Kirurgi,909.0,14
Dagvård Urologmottagningen,Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),506.0,13
Röntgen Plan 01 rum s17,Avd 91 MAVA,1031.0,13
Röntgen Söder rum S5,AKOM akutteam 1,661.0,13
Röntgen Plan 01 rum s19 (MR),Avd 135 Stroke,969.0,13
Avd 135 Stroke,Bårhus,6454.0,13
Avd 131 Njurmedicin,Röntgen Söder rum S5,790.0,13
Avd 54 Onkologi,Röntgen Söder rum S7,710.0,13
Röntgen Söder rum S5,Avd 131 Njurmedicin,1488.0,13
Avd 68 Gynekologi,Operation 1,621.0,13
Avd 68 Gynekologi,Operation 8,796.0,13
Avd 32 Specialistmedicin,Röntgen Söder rum S7,649.0,13
Röntgen Söder rum S7,Avd 16/29 medicin,943.0,13
Röntgen Söder rum S7,Avd 30 Urologi,1068.0,13
Röntgen Plan 01 rum s20,Avd 16/29 medicin,789.0,13
Avd 137 Kirurgi,Avd 138 Kärlkirurgi,1461.0,13
Röntgen Norr rum S16,Avd 82 Psykiatri,859.0,13
Strålbehandling Rum 5,Avd 32 Specialistmedicin,1318.0,13
Avd 69 Onkologi,Röntgen Plan 01 rum s18 (MR),532.0,13
Röntgen Söder rum S5,AKOM team 3 OBS:en,921.0,13
Strålbehandling Rum 5,Avd 52 Onkologi,1071.0,13
Öron Näsa Hals-Mottagningen ÖNH,Avd 16/29 medicin,1123.0,13
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Avd 93 HIA Hjärtintensiv,748.0,13
Röntgen Söder rum S5,Avd 136 Kirurgi,1524.0,13
Urologmottagningen,Avd 131 Njurmedicin,1702.0,13
Iohexol njurfunktion Klin Fys (crom),Avd 115 Reumatologi,1664.0,13
Avd 32 Specialistmedicin,Andningsfysiologi Klin fys mottagning 3,530.0,13
Avd 80 Psykiatri,Röntgen Norr rum S11,582.0,13
Röntgen Söder rum S6,Avd 90 MAVA,906.0,13
Röntgen Söder rum S6,Avd 143 Transplantationsmottagning,1120.0,13
Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),Avd 139 Transplantation,837.0,13
Avd 135 Stroke,Röntgen Söder rum S4,793.0,13
Röntgen Plan 01 rum s18,Avd 30 Urologi,816.0,13
Röntgen Plan 01 rum s18,Avd 32 Specialistmedicin,813.0,13
Avd 91 MAVA,Bårhus,2598.0,13
Röntgen Plan 01 rum s18,Avd 131 Njurmedicin,974.0,13
Röntgen Norr rum S16,Avd 18 Öron Näsa Hals (på 27 under sommaren),672.0,13
Avd 10 Neurokirurgi,Röntgen Plan 01 rum s20,591.0,13
KFU Klinisk Fysiologi Ultraljud,Avd 143 Transplantationsmottagning,1122.0,13
Avd 136 Kirurgi,Röntgen Söder rum S7,673.0,13
Lungdiagnostisk Mott.,Avd 132 Kirurgi,1783.0,13
Intervention 1,Avd 18 Öron Näsa Hals,1512.0,13
AKOM akutteam 1,CIVA avd 96,451.0,13
71 Onkologisk mottagning team 3,Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),404.0,13
71 Onkologisk mottagning team 3,Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),382.0,13
Avd 21 Geriatrik,Medicinmottagning 2,745.5,12
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Avd 30 Urologi (På 131 under sommaren),1273.5,12
Avd 143 Transplantationsmottagning,GEA Gastroenterologisk Endoskopi,363.0,12
Avd 34 Geriatrik,Röntgen Plan 01 rum s18 (MR),691.0,12
Avd 132 Kirurgi,Röntgen Plan 01 rum s20,474.5,12
Avd 115 Reumatologi,Röntgen Plan 01 rum s17,313.0,12
Röntgen Norr rum S16,Avd 80 Psykiatri,1023.5,12
Strålbehandling Rum 12,Avd 69 Onkologi,1464.5,12
Avd 16/29 medicin,Röntgen Söder rum S7,653.5,12
Röntgen Plan 01 rum s18,Avd 34 Geriatrik,821.5,12
Avd 136 Kirurgi,Avd 21 Geriatrik,1752.0,12
Avd 135 Stroke,GEA Gastroenterologisk Endoskopi,670.5,12
Röntgen Plan 01 rum s18 (MR),Avd 34 Geriatrik,1071.0,12
UVA avdelning 95A,Kirurgmottagningen,1400.5,12
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Medicinmottagning 1,1387.0,12
Avd 30 Urologi (På 131 under sommaren),Röntgen Norr rum S12,826.5,12
Avd 30 Urologi (På 131 under sommaren),Röntgen Norr rum S16,809.5,12
Avd 141 Hematologi,Strålbehandling Rum 8,451.0,12
AKOM akutteam 4,Röntgen Norr rum s9,379.0,12
Avd 32 Specialistmedicin,Strålbehandling CT-MR-Fixation,614.0,12
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Avd 115 Reumatologi,1340.0,12
Operation 4 (på OP1 under sommaren),Avd 14 Plastik,1024.0,12
Avd 32 Specialistmedicin,Strålbehandling Rum 3,469.5,12
Avd 80 Psykiatri,Röntgen Norr rum S16,656.0,12
Avd 135 Stroke,Röntgen Plan 01 rum s20,592.0,12
Avd 91 MAVA,Avd 54 Onkologi,2175.0,12
Röntgen Söder rum S4,Ortopedimottagning (Blå stråket 3),647.5,12
Avd 134 Ryggmärgsskador,Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),492.5,12
KFU Klinisk Fysiologi Ultraljud,Avd 93 HIA Hjärtintensiv,884.5,12
Operation 7 Öron Näsa Hals,Avd 18 Öron Näsa Hals,983.5,12
Neurokirurgi Inskrivning,Röntgen Plan 01 rum s18 (MR),664.5,12
Operation 1,Avd 16/29 medicin,1124.0,12
Avd 115 Reumatologi,Iohexol njurfunktion Klin Fys (crom),730.0,12
Dialysmottagning (avd 130),Avd 30 Urologi,940.0,12
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Avd 32 Specialistmedicin,1065.0,12
Lungmottagningen Vita Str 12,Avd 19 specialist,1491.0,12
Avd 67 Gynekologi,Avd 21 Geriatrik,2943.0,12
Avd 67 Gynekologi,Röntgen Söder rum S7,1072.0,12
Avd 115 Reumatologi,Avd 140 Hematologisk Mottagning,816.5,12
Röntgen Plan 01 rum s18,Avd 134 Ryggmärgsskador,1346.5,12
UVA avdelning 95A,Avd 52 Onkologi,1589.0,12
Avd 54 Onkologi,Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),793.5,12
Avd 13 Kardiologi,KFU Klinisk Fysiologi Ultraljud,423.5,12
Avd 69 Onkologi,Röntgen Söder rum S5,898.0,12
Avd 115 Reumatologi,Operation 6 Plastikkirurgi,1115.0,12
Avd 91 MAVA,Avd 91 MAVA,907.5,12
Lungdiagnostisk Mott.,Avd 131 Njurmedicin,1438.5,12
Dagvård Urologmottagningen,Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),694.0,12
Öron Näsa Hals-Mottagningen (gamla rtg),Avd 54 Onkologi,1039.0,12
Avd 91 MAVA,Medicinmottagning 2,934.5,12
Avd 30 Urologi,Röntgen Söder rum S7,736.5,12
Avd 30 Urologi,Dialysmottagning (avd 130),573.5,12
Avd 30 Urologi,Avd 18 Öron Näsa Hals,891.5,12
Avd 141 Hematologi,Iohexol njurfunktion Klin Fys (crom),911.5,12
GEA Gastroenterologisk Endoskopi,Avd 135 Stroke,933.0,12
Operation 1,Avd 31 Plastik dagvård,782.0,12
Neurokirurgi Inskrivning,Avd 133 Neurologi,752.5,12
Röntgen Norr rum S11,Avd 25 Thoraxkirurgi,721.5,12
Nuklearmedicin Klin Fys,Avd 133 Neurologi,1335.5,12
Avd 91 MAVA,Röntgen Plan 01 rum s18 (MR),506.0,12
Röntgen Söder rum S7,Avd 136 Kirurgi,1009.0,12
71 Onkologisk mottagning team 3,Röntgen Plan 2/3 rum s22,465.0,11
Röntgen Norr rum S15,Avd 81 Psykiatri,807.0,11
Öron Näs Hals-Mottagningen ÖNH,Avd 16/29 medicin,1321.0,11
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Dagvård Urologmottagningen,713.0,11
Operation 4 Postop,Avd 52 Onkologi,1832.0,11
Röntgen Söder rum S6,Avd 140 Hematologisk Mottagning,881.0,11
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Avd 21 Geriatrik,1243.0,11
Boic-Gropen,Röntgen Plan 2/3 rum s22,524.0,11
UVA avdelning 95A,Avd 18 Öron Näsa Hals (på 27 under sommaren),870.0,11
Iohexol njurfunktion Klin Fys (crom),Avd 13 Kardiologi,847.0,11
Röntgen Söder rum S7,Avd 137 Kirurgi,994.0,11
Avd 69 Onkologi,Operation 8,833.0,11
Avd 132 Kirurgi,Avd 16/29 medicin,824.0,11
GEA Gastroenterologisk Endoskopi,Avd 19 specialist,1020.0,11
Avd 32 Specialistmedicin,Röntgen Plan 01 rum s18 (MR),304.0,11
Strålbehandling CT-MR-Fixation,Avd 52 Onkologi,1296.0,11
TVE Traumavårdsenhet,Avd 15/28 Ortopedi,1506.0,11
Röntgen Söder rum S5,TVE Traumavårdsenhet,1019.0,11
Röntgen Plan 01 rum s18,Avd 138 Kärlkirurgi,1402.0,11
Röntgen Plan 01 rum s18,Avd 90 MAVA,1098.0,11
Operation 4 (på OP1 under sommaren),Urologmottagningen,1192.0,11
Avd 15/28 Ortopedi,Avd 134 Ryggmärgsskador,2058.0,11
AKOM team 3 OBS:en,GEA Gastroenterologisk Endoskopi,881.0,11
Röntgen Söder rum S5,Avd 90 MAVA,761.0,11
Röntgen Söder rum S6,Lungmottagningen Vita Str 12,885.0,11
Avd 90 MAVA,Avd 16/29 medicin,1393.0,11
Iohexol njurfunktion Klin Fys (crom),Avd 141 Hematologi,1646.0,11
Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),Avd 69 Onkologi,1195.0,11
Avd 133 Neurologi,Avd 21 Geriatrik,1428.0,11
Röntgen Norr rum S11,Avd 81 Psykiatri,760.0,11
Intervention 1,Avd 134 Ryggmärgsskador,1281.0,11
Avd 34 Geriatrik,Röntgen Plan 01 rum s18,457.0,11
Strålbehandling Rum 8,Avd 141 Hematologi,1282.0,11
Röntgen Norr rum S11,Avd 140 Hematologisk Mottagning,816.0,11
Avd 134 Ryggmärgsskador,Röntgen Söder rum S5,443.0,11
Avd 133 Neurologi,Röntgen Söder rum S4,1204.0,11
Avd 52 Onkologi,Röntgen Söder rum S7,671.0,11
Neurooftamologisk mott Sahlgrenska ÖK,Avd 141 Hematologi,902.0,11
Avd 10 Neurokirurgi,Avd 135 Stroke,1576.0,11
Röntgen Söder rum S7,Avd 52 Onkologi,1339.0,11
Röntgen Söder rum S7,Avd 135 Stroke,1406.0,11
AKOM akutteam 1,Avd 67 Gynekologi,1271.0,11
Avd 21 Geriatrik,Röntgen Söder rum S4,767.0,11
AKOM akutteam 4,Röntgen Söder rum S6,800.0,11
Avd 54 Onkologi,Röntgen Söder rum S5,841.0,11
Avd 140 Hematologisk Mottagning,Röntgen Söder rum S4,886.0,11
Röntgen Plan 01 rum s20,Avd 10 Neurokirurgi,841.0,11
Avd 91 MAVA,Avd 136 Kirurgi,1959.0,11
Andningsfysiologi Klin fys mottagning 3,Avd 141 Hematologi,1217.0,11
Avd 25 Thoraxkirurgi,Röntgen Norr rum S11,514.0,11
Avd 137 Kirurgi,Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),476.0,11
Strålbehandling Rum 3,Avd 32 Specialistmedicin,1537.0,11
Avd 133 Neurologi,Intervention 1,1194.0,11
Röntgen Plan 01 rum s20,Avd 54 Onkologi,1345.0,11
Avd 10 Neurokirurgi,KFU Klinisk Fysiologi Ultraljud,484.0,11
Avd 53 Onkologi,Operation 4,416.0,11
Avd 16/29 medicin,Öron Näs Hals-Mottagningen ÖNH,831.0,11
Avd 15/28 Ortopedi,Röntgen Plan 2/3 rum s22,289.0,11
Preoperativ mottagning Sahlgrenska Blå str 7 plan 1,Avd 52 Onkologi,1336.0,11
Avd 32 Specialistmedicin,Bårhus,4524.0,11
Röntgen Söder rum S4,Avd 133 Neurologi,1096.5,10
Röntgen Plan 01 rum s17,Avd 93 HIA Hjärtintensiv,858.0,10
GEA Gastroenterologisk Endoskopi,Avd 21 Geriatrik,1347.0,10
Operation 1,Avd 131 Njurmedicin,951.0,10
KFU Klinisk Fysiologi Ultraljud,Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),600.0,10
Operation 8,Avd 136 Kirurgi,1018.5,10
Dialysmottagning (avd 130),Avd 90 MAVA,1068.5,10
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Dagvård Urologmottagningen,1219.0,10
Strålbehandling Rum 10,Avd 53 Onkologi,1068.0,10
Röntgen Söder rum S7,Avd 69 Onkologi,1268.5,10
Operation 1,Operation 8,10.5,10
Avd 23 Neurokirurgi,Röntgen Norr rum S16,398.5,10
Röntgen Söder rum S7,Avd 32 Specialistmedicin,1090.0,10
Avd 69 Onkologi,Strålbehandling CT-MR-Fixation,633.0,10
Avd 69 Onkologi,Avd 54 Onkologi,1528.5,10
Avd 137 Kirurgi,Röntgen Plan 01 rum s20,582.5,10
Intervention 1,AKOM akutteam 1,996.0,10
Röntgen Norr rum S16,Avd 68 Gynekologi,896.0,10
Avd 12 Thoraxkirurgi,Röntgen Norr rum S11,1036.0,10
Röntgen Söder rum S3,Avd 136 Kirurgi,1075.5,10
Avd 31 Plastik dagvård,Röntgen Norr rum S16,660.5,10
Andningsfysiologi Klin fys mottagning 3,Avd 32 Specialistmedicin,1248.5,10
Andningsfysiologi Klin fys mottagning 3,Avd 93 HIA Hjärtintensiv,928.5,10
Avd 13 Kardiologi,Iohexol njurfunktion Klin Fys (crom),331.0,10
AKOM akutteam 4,Avd 135 Stroke,920.5,10
Öron Näsa Hals-Mottagningen (gamla rtg),Avd 115 Reumatologi,1059.0,10
Avd 54 Onkologi,Iohexol njurfunktion Klin Fys (crom),759.5,10
Avd 54 Onkologi,Röntgen Plan 01 rum s20,706.0,10
Avd 140 Hematologisk Mottagning,Avd 16/29 medicin,2009.5,10
Avd 141 Hematologi,IVF,760.5,10
Röntgen Söder rum S4,Röntgen Söder rum S4,999.5,10
Röntgen Söder rum S7,Avd 132 Kirurgi,1471.5,10
